Inter-Pacific Petroleum Pte Ltd                   ,bunkers@interpacsg.com                                           
Kenoil Marine Services Pte Ltd                    ,info@kenoil.com                                                  
Lukoil Asia Pacific Pte Ltd                       ,marinefuels@lukoil.com.sg                                        
Marubeni Corporation                              ,tokb553@marubeni.com                                             
Marubeni International Petroleum (S) Pte Ltd      ,"bunkers-sg@marubeni.com,mipco-accg@apac.marubeni.com             "
Matrix Marine Fuels Pte Ltd                       ,"info@mabanaft.com.sg,bunkers@matrixbharat.com                    "
Millennium Oil Pte Ltd                            ,bunkers@m-oil.com.sg                                             
Ocean Bunkering Services (Pte) Ltd                ,marine@oceanbunkering.com.sg                                     
Ocean Energy Ltd                                  ,oceanenergy@oceanenergy.mc                                       
Ocean Energy Supply Singapore Pte Ltd             ,singapore@oceanenergy.mc                                         
Pacific Bunkering Services Pte Ltd                ,pbpbs@pacbunker.com.sg                                           
Palmstone Marine Services Pte Ltd                 ,bunkers@palmstone-marine.com.sg                                  
Palmstone Tankers &amp; Trading Pte Ltd           ,"petroleum@palmstone.com.sg,winnson@palmstone.com.sg              "
Panoil Petroleum Pte Ltd                          ,bunker@panoil.com.sg                                             
Pegasus Maritime (S) Pte Ltd                      ,pegasus_m@pacific.net.sg                                         
Prosperbiz Petroleum (S) Pte Ltd                  ,sales@prospbiz.com                                               
Resources Petroleum Pte Ltd                       ,paul_heng@respet.com.sg                                          
SK Energy International Pte Ltd                   ,bunker@skenergy.com                                              
Saturn Marine &amp; Trading Pte Ltd               ,stn@saturnmarine.com.sg                                          
Scandinavian Bunkering (Singapore) Pte Ltd        ,scanb@scanb.com.sg                                               
Sea Trader International Ltd                      ,bunkers@seatrader.hk                                             
Searights Maritime Services Pte Ltd               ,"bunkers@searights.com.sg,operations@searights.com.sg             "
Sentek Marine &amp; Trading Pte Ltd               ,"bunkers@sentek.com.sg,shipping@sentek.com.sg                     "
Seven Seas Oil (Hong Kong) Ltd                    ,bunkers@seven-seas.hk                                            
Seven Seas Oil Trading Pte Ltd                    ,operations@sevenseasoil.com.sg                                   
Shell Eastern Trading (Pte) Ltd                   ,gxsietcobunkersales@shell.com                                    
Singamas Petroleum Trading Pte Ltd                ,operations@singamas.com.sg                                       
Singapore Petroleum Co Ltd                        ,spccc@spc.com.sg                                                 
Sirius Marine Pte Ltd                             ,operations@siriusmarine.com.sg                                   
Sougyo Marine Pte Ltd                             ,"sougyo@singnet.com,sougyo@singnet.com.sg                         "
Southernpec (Singapore) Pte Ltd                   ,bunker@southernpec.com.sg (all trading business)                 
Success Blossom Trading Pte Ltd                   ,sales@successblossom.com                                         
The Barrel Oil Pte Ltd                            ,inquiry@barreloil.com.sg                                         
Titan Ocean Pte Ltd                               ,titan@petrotitan.com                                             
Total Marine Fuels Europe                         ,"marine-fuels.europe@totsa.com,marine-fuels.africa@totsa.com      "
Total Marine Fuels Pte Ltd                        ,marine.fuels.singapore@totsa.com                                 
Toyota Tsusho Petroleum Pte Ltd                   ,operation@gr.toyota-tsusho.com                                   
Transocean Oil Pte Ltd                            ,sales@transoceanoil.com                                          
Triton Bunkering Services Pte Ltd                 ,triton@tritonbunkering.com                                       
Uni Petroleum Pte Ltd                             ,"unioil@singnet.com.sg,bunkers@unipetroleum.com.sg                "
Universal Energy Pte Ltd                          ,"mail@ue.com.sg,ops@ue.com.sg                                     "
Victory Petroleum Trading Pte Ltd                 ,vpt@vpt.com.sg                                                   
Wired Bunkering Pte Ltd                           ,wiredbxr@singnet.com.sg                                          
